country,2020
Afghanistan,−84.9
Angola,−67.8
Albania,−53.6
Andorra,−48.8
United Arab Emirates,−34.6
Argentina,−46.2
Armenia,−51.4
Antigua and Barbuda,−68.9
Australia,−10.7
Austria,−5.81
Azerbaijan,−55.7
Burundi,−27.5
Belgium,−9.45
Benin,−57.2
Burkina Faso,−38.2
Bangladesh,−55.8
Bulgaria,−49.1
Bahrain,−49.2
Bahamas,−47.9
Bosnia and Herzegovina,−54.7
Belarus,−67.4
Belize,−58.4
Bolivia,−49.5
Brazil,−43.3
Barbados,−48
Brunei,−59.9
Bhutan,−46.3
Botswana,−55
Central African Republic,−57.9
Canada,−13.9
Switzerland,−8.54
Chile,−50
China,−31.1
Cote d'Ivoire,−61.9
Cameroon,−70
"Congo, Dem. Rep.",−42.1
"Congo, Rep.",−62.5
Colombia,−55.1
Comoros,−51.9
Cape Verde,−61.6
Costa Rica,−50.7
Cuba,−48.5
Cyprus,−44.2
Czech Republic,−25.4
Germany,−7.91
Djibouti,−62.9
Dominica,−63.3
Denmark,−9.78
Dominican Republic,−55.3
Algeria,−59.6
Ecuador,−67.1
Egypt,−56.7
Eritrea,−53.3
Spain,−12.2
Estonia,−42.9
Ethiopia,−62.8
Finland,−16
Fiji,−55.3
France,−8.44
"Micronesia, Fed. Sts.",−56
Gabon,−58.7
United Kingdom,−10.8
Georgia,−45.3
Ghana,−56.7
Guinea,−36.6
Gambia,−66.4
Guinea-Bissau,−31.3
Equatorial Guinea,−58.8
Greece,−30.8
Grenada,−52.4
Guatemala,−62.6
Guyana,−52.1
Honduras,−68
Croatia,−34.8
Haiti,−57.7
Hungary,−17.6
Indonesia,−53.5
India,−51.6
Ireland,−16.3
Iran,−56.4
Iraq,−70.9
Iceland,−11.6
Israel,−41.5
Italy,−7.93
Jamaica,−48.8
Jordan,−54.6
Japan,−9.99
Kazakhstan,−70.5
Kenya,−66.5
Kyrgyz Republic,−65.4
Cambodia,−66
Kiribati,−61.2
St. Kitts and Nevis,−59.4
South Korea,−21.5
Kuwait,−55.2
Lao,−78.3
Lebanon,−64.6
Liberia,−23.6
Libya,−53.8
St. Lucia,−55
Liechtenstein,−27.9
Sri Lanka,−55.7
Lesotho,−54.4
Lithuania,−48.7
Luxembourg,−15.3
Latvia,−42.5
Morocco,−53
Monaco,−18.6
Moldova,−54.7
Madagascar,−30.6
Maldives,−63
Mexico,−39.6
Marshall Islands,−48.3
North Macedonia,−50.4
Mali,−52.7
Malta,−34.5
Myanmar,−58.8
Montenegro,−53.3
Mongolia,−59.9
Mozambique,−51.7
Mauritania,−51.1
Mauritius,−52.8
Malawi,−39.1
Malaysia,−49.5
Namibia,−68
Niger,−38.8
Nigeria,−43.3
Nicaragua,−77.2
Netherlands,−11.7
Norway,−12
Nepal,−63.7
Nauru,−68.6
New Zealand,−7.2
Oman,−54.7
Pakistan,−49.8
Panama,−53.1
Peru,−51.6
Philippines,−50.8
Palau,−65
Papua New Guinea,−67.1
Poland,−27
North Korea,−49.8
Portugal,−30.1
Paraguay,−52.1
Palestine,−60.9
Qatar,−35.6
Romania,−32.6
Russia,−25.1
Rwanda,−58.2
Saudi Arabia,−38.1
Sudan,−53.6
Senegal,−74.8
Singapore,−26.9
Solomon Islands,−56.5
Sierra Leone,−46.7
El Salvador,−56.9
San Marino,−45.8
Somalia,−63.6
Serbia,−49.3
South Sudan,−37.5
Sao Tome and Principe,−62
Suriname,−54.5
Slovak Republic,−31.9
Slovenia,−39.2
Sweden,−7.05
Eswatini,−32.4
Seychelles,−60.2
Syria,−79.7
Chad,−25.8
Togo,−56.2
Thailand,−41.3
Tajikistan,−70.5
Turkmenistan,−64.4
Timor-Leste,−58.9
Tonga,−64.5
Trinidad and Tobago,−65.3
Tunisia,−51.5
Turkey,−44.1
Tuvalu,−60.5
Tanzania,−50.9
Uganda,−56.1
Ukraine,−34.2
Uruguay,−51.3
United States,−18
Uzbekistan,−65.1
St. Vincent and the Grenadines,−62.2
Venezuela,−69.5
Vietnam,−66
Vanuatu,−63.4
Samoa,−68.1
Yemen,−51.7
South Africa,−64.6
Zambia,−61.3
Zimbabwe,−75.9
